5.676	0.305	NGC_4278_GC_7
5.68	0.469	B027
5.68	0.264	B006
5.68	0.413	NGC_4278_GC_119
5.68	0.19	NGC_4278_GC_118
5.684	0.279	H41164
5.684	0.508	NGC_4278_GC_23
5.688	0.505	H46172
5.688	1.602	H44905
5.688	1.059	NGC_3115_UCD5
5.692	2.346	And_XV
5.692	0.505	H51075
5.692	0.353	NGC_4278_GC_45
5.7	0.543	NGC_6356
5.7	0.633	H46752
5.704	0.446	NGC_4278_GC_204
5.704	0.375	NGC_4278_GC_92
5.708	0.374	NGC_3115_A24
5.712	0.491	S5055
5.712	0.23	S1354
5.712	0.43	NGC_4278_GC_32
5.716	0.613	S603
5.716	0.964	HUCD112
5.716	0.543	B358
5.716	0.374	NGC_3115_A18
5.72	0	S1224
5.724	0.812	S814
5.724	0.415	R01-223
5.724	0.322	H38018
5.728	0.114	S1254
5.728	0.556	H44683
5.728	0.176	H39279
5.728	1.192	acs132
5.728	0.215	NGC_4278_GC_99
5.728	0.571	NGC_4278_GC_137
5.732	2.311	Tucana
5.732	0.449	B240
5.732	0.374	NGC_3115_A23
5.732	0.367	NGC_4278_GC_268
5.736	0.477	NGC_7078
5.736	0.524	NGC_4278_GC_138
5.74	0.491	S1725
5.74	0.342	S1483
5.74	0.388	NGC_5286
5.744	0.477	H45481
5.744	0.279	H40628
5.744	0.466	NGC_4278_GC_3
5.748	0.756	HGHH92-C44
5.748	0.337	NGC_4278_GC_116
5.752	1.228	S723
5.752	0.613	NGC_104
5.752	0.838	J623
5.752	0.365	NGC_4278_GC_266
5.752	0.392	NGC_4278_GC_80
5.76	0.38	S949
5.76	0.38	S664
5.76	0.591	B405
5.76	0.331	B110
5.76	0.405	NGC_3115_A17
5.764	0.505	S7017
5.764	0.289	NGC_4278_GC_129
5.768	0.402	NGC_3115_A21
5.776	0.531	S7016
5.776	0.394	NGC_4278_GC_94
5.776	0.162	NGC_4278_GC_147
5.776	0.58	S7007
5.776	0.663	H30011
5.78	0.653	S514
5.78	0.462	S1144
5.78	0.301	S1119
5.78	1.158	HUCD114
5.784	1.124	S825
5.784	0.462	S8052
5.788	0.699	S859
5.788	0.898	H38032
5.788	0.74	H24620
5.788	1.366	NGC_4278_GC_265
5.788	0.616	NGC_4278_GC_28
5.792	0.38	S602
5.792	0.708	S1490
5.792	0.345	NGC_4278_GC_104
5.792	0.294	NGC_4278_GC_15
5.792	0.282	NGC_3115_A15
5.8	1.107	HUCD110
5.8	1.282	acs112
5.8	0.455	NGC_3115_A20
5.804	0.505	S423
5.804	1.327	NGC_2419
5.804	0.58	H35970
5.804	0.415	S1313
5.808	0.653	HGHH92-C41
5.808	1.029	H30401
5.808	1.173	C42
5.812	2.56	And_XVIII
5.812	0.505	S94
5.812	0.398	B311
5.812	0.495	B020
5.812	2.436	Antlia_B
5.812	2.788	And_XXV
5.816	0.176	S519
5.816	0.462	S292
5.82	0.602	S879
5.82	0.302	NGC_4278_GC_135
5.824	0.839	S857
5.824	0.591	S1117
5.824	0.552	B012
5.824	0.775	NGC_3115_A19
5.828	0.653	S5067
5.828	0.724	HHH86-C15
5.828	0.232	NGC_4278_GC_49
5.828	0.232	NGC_4278_GC_263
5.828	0.287	NGC_4278_GC_53
5.832	0.531	S101
5.832	0.337	NGC_3115_A12
5.836	0.707	NGC_4278_GC_57
5.84	0.58	S917
5.84	0.92	C25
5.844	0.477	S902
5.844	0.519	S8008
5.844	0.672	S8003
5.844	0.398	S7006
5.844	0.362	S1167
5.844	0.519	S1120
5.844	0.596	NGC_4278_GC_52
5.844	0.411	NGC_4278_GC_259
5.844	0.743	NGC_4278_GC_215
5.844	0.403	NGC_4278_GC_124
5.848	0.447	S1181
5.848	0.612	S1060
5.848	0.534	NGC_4278_GC_83
5.852	0.556	S1461
5.852	2.215	Leo_II
5.856	0.556	S651
5.856	0.462	S313
5.856	0.399	NGC_4278_GC_21
5.86	0.255	S871
5.86	0.505	H30319
5.86	0.929	C2
5.864	0.362	S992
5.864	0.519	S1064
5.864	1.124	HUCD101
5.864	0.556	H27029
5.868	1.605	S6004
5.868	0.38	S186
5.868	0.519	HGHH92-C37
5.868	0.37	NGC_4278_GC_267
5.868	0.646	NGC_4278_GC_56
5.872	0.447	HHH86-C38
5.872	0.86	C32
5.872	0.408	NGC_4278_GC_51
5.872	0.513	NGC_4278_GC_35
5.876	0.568	S103
5.876	0.452	AC09
5.876	0.35	NGC_4278_GC_260
5.876	0.344	NGC_4278_GC_126
